s.no,YEAR,MONTH,PETROL PRICES,PETROL PRICES,          PETROL/HYBRID,PURE EV,        DIESEL/HYBRID,ELECTRIC(BOV),PETROL,DIESEL,DELHI AQI
70),2022.0,OCTOBER,96.72,89.62,2020,0,2,"8,154","58,011","1,419",210
71),2022.0,NOVEMBER,96.72,89.62,1836,0,3,"6,156","47,511","1,232",320
72),2022.0,DECEMBER,96.72,89.62,1614,0,3,"7,065","27,281",910,319
73),2023.0,JANUARY,96.72,89.62,2089,0,3,"5,573","43,683","1,088",311
74),2023.0,FEBRUARY,96.72,89.62,2495,0,4,"5,267","35,441","1,014",237
75),2023.0,MARCH,96.72,89.62,3100,0,2,"7,969","36,856","1,150",170
76),2023.0,APRIL,96.72,89.62,2167,0,5,"5,184","34,216","1,110",179
77),2023.0,MAY,96.72,89.62,1875,0,0,"7,633","36,707","1,106",171
78),2023.0,JUNE,96.72,89.62,1648,0,3,"4,905","35,313",938,130
79),2023.0,JULY,96.72,89.62,1760,0,2,"4,922","37,624","1,048",84
80),2023.0,AUGUST,96.72,89.62,1871,0,2,"4,941","39,904","1,143",116
81),2023.0,SEPTEMBER,96.72,89.62,1877,0,3,"4,849","38,476","1,064",108
82),2023.0,OCTOBER,96.72,89.62,1807,0,5,"6,033","42,442",961,219
83),2023.0,NOVEMBER,96.72,89.62,1818,0,5,"6,930","63,044","1,118",373
84),2023.0,DECEMBER,96.72,89.62,1543,0,7,"9,485","31,083",849,348
85),2024.0,JANUARY,96.72,89.62,2627,0,7,"7,602","46,846","1,150",355
86),2024.0,FEBRUARY,96.72,89.62,2262,0,4,"5,640","37,125","1,145",218
87),2024.0,MARCH,96.72,89.62,1798,12,6,"10,851","34,879","1,126",176
88),2024.0,APRIL,94.72,87.62,1740,69,4,"5,264","42,657","1,126",182
89),2024.0,MAY,94.72,87.62,1305,742,9,"4,993","39,251",970,233
90),2024.0,JUNE,94.72,87.62,1182,1002,5,"4,078","35,311",927,179
91),2024.0,JULY,94.72,87.62,1322,2763,3,"5,156","41,234","1,128",96
92),2024.0,AUGUST,94.72,87.62,1087,1228,4,"4,366","40,127",914,72
93),2024.0,SEPTEMBER,94.72,87.62,875,1028,0,"4,356","32,696",751,105
94),2024.0,OCTOBER,94.72,87.62,1871,1919,3,"5,222","66,581","1,332",234
95),2024.0,NOVEMBER,94.77,87.67,1018,1990,3,"5,197","66,041","1,036",374
96),2024.0,DECEMBER,94.77,87.67,1114,1775,6,"5,149","30,657","1,036",974
97),2025.0,JANUARY,94.77,87.67,2060,2897,2,"5,676","52,132","1,198",218
98),2025.0,FEBRUARY,94.77,87.67,1022,3850,6,"4,371","32,953",920,169
99),2025.0,MARCH,94.77,87.67,"1,166","5,971",2,"4,530","38,877","1,034",143
100),2025.0,APRIL,94.72,87.62,"1,388","4,968",2,"3,723","34,956","1,010",213
